Comment,Description,Designator,Footprint,LibRef,Quantity

"430pF","CAP CER 430PF 50V CH 0402","C1, C8","CAP 0402_1005","UMK105CH431JVHF","2"
"10uF","CAP CER 10UF 16V X5R 0805","C2, C9, C14, C17, C19, C20, C22","CAP 0805_2012","GRM21BR61C106KE15K","7"
"22uF","CAP CER 22UF 10V X5R 0805","C3, C10","CAP 0805_2012","CL21A226MPCLRNC","2"
"33pF","CAP CER 33PF 50V C0G/NP0 0402","C4, C5, C6","CAP 0402_1005","500R07N330JV4T","3"
"0.1µF","CAP CER 0.1UF 25V X5R 0402","C7, C11, C12, C13, C15, C16, C18, C23, C24","CAP 0402_1005","CL05A104KA5NNNC","9"
"1µF","CAP CER 1UF 16V X5R 0402","C21","CAP 0402_1005","EMK105BJ105KVHF","1"
"Mini PCIe/Sata","","J1","0480995701+67910-0002","Mini PCIe/Sata","1"
"XKNANO-1306","卡座连接器 NANO SIM 1.4H 6P 掀盖式","J2","XKNANO-1306","XKNANO-1306","1"
"1-292303-1","CONN RCPT USB2.0 TYPEA 4P SMD RA","J3","TE 292303-1","1-292303-1","1"
"HDR1x12","Header","J4","HDR1X12_2.54_180F","HDR1x12_2.54","1"
"HDR2x12","Header","J5","HDR2X12_2.54_180F","HDR2x12_2.54","1"
"Type_C_16P","","J6, J9","Type_C_16P","Type_C_16P","2"
"HDR1x8","Header","J7","HDR1X8_2.54_180F","HDR1x8_2.54","1"
"HDR1x2","Header","J8","HDR1X2_2.54_90","HDR1x2_2.54","1"
"HDR1x2","Header","J10","HDR1X2_2.54_180","HDR1x2_2.54","1"
"309 kOhms","RES SMD 309K OHM 1% 1/16W 0402","R1","RES 0402_1005","AC0402FR-07309KL","1"
"0 Ohms","RES SMD 0 OHM JUMPER 1/5W 0402","R2, R4, R5","RES 0402_1005","CRCW04020000Z0EDHP","3"
"100 kOhms","RES 100K OHM 0.1% 1/16W 0402","R3, R7, R9, R10","RES 0402_1005","TNPW0402100KBEED","4"
"15 kOhms","RES SMD 15K OHM 1% 1/16W 0402","R6","RES 0402_1005","AC0402FR-0715KL","1"
"523 kOhms","RES SMD 523K OHM 1% 1/16W 0402","R8","RES 0402_1005","CRCW0402523KFKED","1"
"6.8 kOhms","RES SMD 6.8K OHM 0.1% 1/16W 0402","R11","RES 0402_1005","ERA-2APB682X","1"
"5.1 kOhms","RES SMD 5.1K OHM 0.5% 1/16W 0402","R12, R13, R18, R19","RES 0402_1005","RT0402DRE075K1L","4"
"1 kOhms","RES 1K OHM 0.1% 1/16W 0402","R14","RES 0402_1005","TNPW04021K00BEED","1"
"10 kOhms","RES SMD 10K OHM 5% 1/5W 0402","R15","RES 0402_1005","RCS040210K0JNED","1"
"2.2 kOhms","RES SMD 2.2K OHM 5% 1/5W 0402","R16, R17","RES 0402_1005","ESR01MZPJ222","2"
"TPS82130","Vin: 3-17V 
Vout: 0.9-5V 
3Aout MAX","U1, U3","SIL0008D","TPS82130","2"
"TPD4E02B04DQAR","ESD","U2","USON_10P","ESD_USON_10P","1"
"XC6206P182MR","","U4","SOT23-3","XC6206-3.3","1"
"TXS0108EPWR","Bidirectional Voltage-Level Translator for Open-Drain and Push-Pull Application, 8 bit, 1.2 to 3.6 V, -40 to 85 degC, 20-Pin TSSOP, Green (RoHS & no Sb/Br), Tape and Reel","U5, U7","PW0020A_M","CMP-2000-04956-1","2"
"CP2102-GMR","Single-Chip USB to URAT Bridge, 3.3 V, -40 to 85 degC, 28-Pin QFN, RoHS, Tape and Reel","U6","SLAB-QFN-28-3125x3125TP_M","CMP-2000-04924-1","1"
"CH224K","CH224K","U8","ch224K","CH224K","1"
